model,strategy,fam,epoch,train_loss,valid_loss,valid_f1,test_f1
sincFold,sortS200,RNaseP,20.0,0.0013,0.0461,0.6841,0.35
sincFold,sortS200,RNaseP,21.0,0.0018,0.0621,0.6691,
sincFold,sortS200,RNaseP,22.0,0.0016,0.0376,0.7023,
sincFold,sortS200,RNaseP,23.0,0.0009,0.0533,0.6852,
sincFold,sortS200,RNaseP,24.0,0.0013,0.0381,0.6889,
sincFold,sortS200,RNaseP,25.0,0.002,0.0761,0.6373,0.329
sincFold,sortS200,5s,0.0,0.0583,0.0428,0.3585,
sincFold,sortS200,5s,1.0,0.0583,0.0428,0.3585,
sincFold,sortS200,5s,2.0,0.0323,0.0372,0.4115,
sincFold,sortS200,5s,3.0,0.0289,0.0363,0.4484,
sincFold,sortS200,5s,4.0,0.0287,0.0351,0.4765,
sincFold,sortS200,5s,5.0,0.0246,0.031,0.4998,0.487
sincFold,sortS200,5s,6.0,0.0271,0.0301,0.5032,
sincFold,sortS200,5s,7.0,0.0235,0.0318,0.5015,
sincFold,sortS200,5s,8.0,0.0213,0.0324,0.5425,
sincFold,sortS200,5s,9.0,0.0196,0.0266,0.5843,
sincFold,sortS200,5s,10.0,0.0162,0.0253,0.6029,0.482
sincFold,sortS200,5s,11.0,0.0137,0.0255,0.5898,
sincFold,sortS200,5s,12.0,0.01,0.0275,0.6413,
sincFold,sortS200,5s,13.0,0.0078,0.0467,0.5637,
sincFold,sortS200,5s,14.0,0.0069,0.0263,0.6449,
sincFold,sortS200,5s,15.0,0.0036,0.0391,0.656,0.342
sincFold,sortS200,5s,16.0,0.0033,0.0329,0.6182,
sincFold,sortS200,5s,17.0,0.0024,0.0491,0.6502,
sincFold,sortS200,5s,18.0,0.0019,0.0368,0.6622,
sincFold,sortS200,5s,19.0,0.0021,0.0586,0.6293,
sincFold,sortS200,5s,20.0,0.0017,0.0503,0.6614,0.371
sincFold,sortS200,5s,21.0,0.0015,0.0804,0.5892,
sincFold,sortS200,5s,22.0,0.0013,0.0492,0.6758,
sincFold,sortS200,5s,23.0,0.0008,0.0487,0.669,
sincFold,sortS200,5s,24.0,0.0016,0.0303,0.6288,
sincFold,sortS200,5s,25.0,0.0015,0.0425,0.6757,0.373
sincFold,sortS200,srp,0.0,0.0594,0.0467,0.4164,
sincFold,sortS200,srp,1.0,0.0594,0.0467,0.4164,
sincFold,sortS200,srp,2.0,0.0305,0.0379,0.4821,
sincFold,sortS200,srp,3.0,0.0275,0.0394,0.5011,
sincFold,sortS200,srp,4.0,0.025,0.0296,0.567,
sincFold,sortS200,srp,5.0,0.0227,0.0286,0.5614,0.276
sincFold,sortS200,srp,6.0,0.0251,0.0583,0.4696,
sincFold,sortS200,srp,7.0,0.0206,0.0285,0.5751,
sincFold,sortS200,srp,8.0,0.0182,0.0226,0.623,
sincFold,sortS200,srp,9.0,0.016,0.0209,0.6578,
sincFold,sortS200,srp,10.0,0.0136,0.0231,0.6927,0.259
sincFold,sortS200,srp,11.0,0.011,0.0246,0.6978,
