model,strategy,K,fam,test_f1
RiNALMo-ResNet,sortS,200,srp,0.5747065564211113
RiNALMo-ResNet,sortS,200,tRNA,0.8774323218574174
RiNALMo-ResNet,sortS,200,telomerase,0.1001885267093129
RiNALMo-ResNet,sortS,200,tmRNA,0.6408654663149923
RiNALMo-ResNet,sortS,400,16s,0.5172851756966192
RiNALMo-ResNet,sortS,400,23s,0.5925926084291671
RiNALMo-ResNet,sortS,400,5s,0.7774163500830843
RiNALMo-ResNet,sortS,400,RNaseP,0.6190834988164674
RiNALMo-ResNet,sortS,400,grp1,0.5195943423283061
RiNALMo-ResNet,sortS,400,srp,0.5708105231126857
RiNALMo-ResNet,sortS,400,tRNA,0.8821393547963945
RiNALMo-ResNet,sortS,400,telomerase,0.0879175780015266
RiNALMo-ResNet,sortS,400,tmRNA,0.647524440489403
